session_num,file_key,team_id,session_id,participant_id,condition,run_order,timestamp,message_content,route_mode,route_confidence,route_source,route_override_used,override_mode,route_archetype,route_rationale,is_slash_command,has_research_job
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:19:27.343Z,help me study for network security,ask,0.5,server-classifier,False,auto,pragmatic-advisor,No strong research signal detected; defaulting to assistant mode.,False,False
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:20:01.802Z,compile some research on bgp and its security issues/features,research,0.7799999999999999,server-classifier,False,auto,research-analyst,Matched explicit research phrasing; Matched 1 planning/evaluation hint(s). Routed to research mode.,False,True
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:22:13.367Z,@agent help me do something quiz cards for this,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:22:49.136Z,put it in my to study list,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:06.707Z,put it in my to-study list,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:37.827Z,@agent help me come up with a checklist of topics to revise,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:24:15.627Z,can you summarise all the information ive revised today,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:35:45.342Z,hi chat im samuel,ask,0.5,server-classifier,False,auto,pragmatic-advisor,No strong research signal detected; defaulting to assistant mode.,False,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:03.773Z,sup my bros,ask,0.5,server-classifier,False,auto,pragmatic-advisor,No strong research signal detected; defaulting to assistant mode.,False,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:07.749Z,anyone here,ask,0.5,server-classifier,False,auto,pragmatic-advisor,No strong research signal detected; defaulting to assistant mode.,False,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:55.372Z,how do i use mqtt to transmit a stream of information from an esp32 to my laptop,research,1,manual-override,True,research,research-analyst,Manual override selected by user.,False,True
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:40:16.873Z,how do i verify the behind any lag happening in the information sent between my esp32 and the mqtt broker on my laptop,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:40:58.115Z,how do i verify the reason behind any lag happening in the information sent between my esp32 and the mqtt broker on my laptop,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:41:16.609Z,help,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:41:16.609Z,/hel,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,True,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:42:30.488Z,how do i enable logging on my mqtt broker,ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:37:59.951Z,where's a fun destination we can go,ask,0.5,server-classifier,False,auto,pragmatic-advisor,No strong research signal detected; defaulting to assistant mode.,False,False
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:41:15.179Z,"we are foodies and want to do nature hikes, which location works best for this",ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:41:23.182Z,"@agent we are foodies and want to do nature hikes, which location works best for this",ask,1,manual-override,True,ask,pragmatic-advisor,Manual override selected by user.,False,False
